FirstName,LastName,SamAccountName,Department,JobTitle,Password,OU
Clark,Kent,ckent,Justice League,Superman,QUtT7*yT%3Hc,"OU=Justice League,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Bruce,Wayne,bwayne,Justice League,Batman,QUtT7*yT%3Hc,"OU=Justice League,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Diana,Prince,dprince,Justice League,Wonder Woman,QUtT7*yT%3Hc,"OU=Justice League,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Barry,Allen,ballen,Justice League,The Flash,QUtT7*yT%3Hc,"OU=Justice League,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Hal,Jordan,hjordan,Justice League,Green Lantern,QUtT7*yT%3Hc,"OU=Justice League,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Arthur,Curry,acurry,Justice League,Aquaman,QUtT7*yT%3Hc,"OU=Justice League,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
J'onn,J'onzz,jj'onzz,Justice League,Martian Manhunter,QUtT7*yT%3Hc,"OU=Justice League,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Oliver,Queen,oqueen,Justice League,Green Arrow,QUtT7*yT%3Hc,"OU=Justice League,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Ray,Palmer,rpalmer,Justice League,Atom,QUtT7*yT%3Hc,"OU=Justice League,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Carter,Hall,chall,Justice League,Hawkman,QUtT7*yT%3Hc,"OU=Justice League,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
tenK,kralC,tkralc,Legion of Doom,Bizarro,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
David,Hyde,dhyde,Legion of Doom,Black Manta,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Vril,Dox,vdox,Legion of Doom,Brainiac,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Leonard,Snart,lsnart,Legion of Doom,Captain Cold,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Priscilla,Rich,prich,Legion of Doom,Cheetah,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Doris,Zeul,dzeul,Legion of Doom,Giganta,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
,Grodd,grodd,Legion of Doom,Gorilla Grodd,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Lex,Luthor,lluthor,Legion of Doom,Luthor,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Edward,Nygma,enygma,Legion of Doom,Riddler,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Jonathan,Crane,jcrane,Legion of Doom,Scarecrow,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Thaal,Sinestro,tsinestro,Legion of Doom,Sinestro,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Cyrus,Gold,cgold,Legion of Doom,Solomon Grundy,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Jack,Nimball,jnimball,Legion of Doom,Toyman,QUtT7*yT%3Hc,"OU=Legion of Doom,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Amanda,Waller,awaller,Suicide Squad,Amanda Waller,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Floyd,Lawton,flawton,Suicide Squad,Deadshot,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Rick,Flag,rflag,Suicide Squad,Rick Flag,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Ben,Turner,bturner,Suicide Squad,Bronze Tiger,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
June,Moone,jmoone,Suicide Squad,Enchantress,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
George,Harkness,gharkness,Suicide Squad,Captain Boomerang,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Mark,Desmond,mdesmond,Suicide Squad,Blockbuster,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
,Briscoe,briscoe,Suicide Squad,Briscoe,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Karin,Grace,kgrace,Suicide Squad,Karin Grace,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Leah,Wasserman,lwasserman,Suicide Squad,Mindboggler,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Tom,Tresser,ttresser,Suicide Squad,Nemesis,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Eve,Eden,eeden,Suicide Squad,Nightshade,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Bette,SansSouci,bsanssouci,Suicide Squad,Plastique,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Susan,Linden,slinden,Suicide Squad,Black Orchid,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
David,Clinton,dclinton,Suicide Squad,Chronos,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Oswald,Cobblepot,ocobblepot,Suicide Squad,Penguin,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Louise,Lincoln,llincoln,Suicide Squad,Killer Frost,QUtT7*yT%3Hc,"OU=Suicide Squad,OU=DC,OU=CorpUsers,DC=davidsmith,DC=cloud"
Steve,Rogers,srogers,Avengers,Captain America,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Clinton,Barton,cbarton,Avengers,Hawkeye,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Pietro,Maximoff,pmaximoff,Avengers,Quicksilver,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Wanda,Maximoff,wmaximoff,Avengers,Scarlet Witch,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
,Cressida,cressida,Avengers,Avenger X,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Jacques,Duquesne,jduquesne,Avengers,Swordsman,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
T,Challa,tchalla,Avengers,Black Panther,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Victor,Shade,vshade,Avengers,Vision,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Natalia,Romanoff,nromanoff,Avengers,Black Widow,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Jane,Danvers,jdanvers,Avengers,Captain Marvel,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Sam,Wilson,swilson,Avengers,Falcon,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Scott,Lang,slang,Avengers,Ant-Man,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Peter,Parker,pparker,Avengers,Spiderman,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Tony,Stark,tstark,Avengers,Iron Man,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Bruce,Banner,bbanner,Avengers,The Hulk,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Thor,Odinson,todinson,Avengers,Thor,QUtT7*yT%3Hc,"OU=Avengers,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Reed,Richards,rrichards,Fantastic Four,Mister Fantastic,QUtT7*yT%3Hc,"OU=Fantastic Four,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Michael,Jordan,mjordan,Fantastic Four,Human Torch,QUtT7*yT%3Hc,"OU=Fantastic Four,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Kate,Mara,kmara,Fantastic Four,Invisible Woman,QUtT7*yT%3Hc,"OU=Fantastic Four,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
Ben,Grimm,bgrimm,Fantastic Four,The Thing,QUtT7*yT%3Hc,"OU=Fantastic Four,OU=Marvel,OU=CorpUsers,DC=davidsmith,DC=cloud"
